project,year_month,prs_merged,cycle_median_days,cycle_p90_days,unique_contributors,comment_mean,comment_median,additions_median,deletions_median,files_median,additions_mean,deletions_mean,files_mean,era,date,month_num,new_authors,returning_authors,new_ratio,prs_opened,merge_rate
SGLang,2026-04,1085,1.0162731481481482,18.28167592592593,272,4.4396313364055295,2.0,33.0,7.0,2.0,340.9463414634146,75.09365853658537,5.131707317073171,3,2026-04-01,37.943495400788436,88.0,184.0,0.3235294117647059,2021,0.53686293913904
SGLang,2026-05,1280,0.7624710648148147,14.98573379629631,278,3.64296875,2.0,38.0,7.0,2.0,310.5147182506308,74.26072329688814,5.798990748528175,3,2026-05-01,38.92904073587385,88.0,190.0,0.31654676258992803,2316,0.5526770293609672
SGLang,2026-06,1413,1.0606828703703703,20.23579398148148,321,4.644019815994338,3.0,45.0,7.0,2.0,301.0859375,84.9078125,5.51796875,3,2026-06-01,39.94743758212878,110.0,211.0,0.3426791277258567,2560,0.551953125
vLLM,2023-02,1,0.0016898148148148,0.0016898148148148,1,0.0,0.0,25.0,2.0,2.0,25.0,2.0,2.0,0,2023-02-01,0.0,1.0,0.0,1.0,2,0.5
vLLM,2023-03,17,0.887337962962963,13.933738425925931,2,0.35294117647058826,0.0,243.0,35.0,7.0,528.4117647058823,72.76470588235294,7.9411764705882355,0,2023-03-01,0.9198423127463863,1.0,1.0,0.5,16,1.0625
vLLM,2023-04,16,0.4692361111111111,4.1480092592592595,3,0.625,0.0,129.0,8.0,5.0,238.0,64.5,5.8125,0,2023-04-01,1.938239159001314,1.0,2.0,0.3333333333333333,25,0.64
vLLM,2023-05,43,0.648449074074074,1.9972731481481478,2,0.5348837209302325,0.0,78.0,36.0,5.0,164.97674418604652,157.6046511627907,7.6976744186046515,0,2023-05-01,2.923784494086728,0.0,2.0,0.0,42,1.0238095238095237
vLLM,2023-06,55,0.1220138888888889,2.0163819444444444,12,0.5454545454545454,0.0,8.0,3.0,2.0,54.45454545454545,28.12727272727273,5.454545454545454,0,2023-06-01,3.9421813403416555,10.0,2.0,0.8333333333333334,69,0.7971014492753623
vLLM,2023-07,49,1.125289351851852,6.407136574074077,27,1.2857142857142858,0.0,9.0,3.0,2.0,90.72340425531915,22.72340425531915,3.74468085106383,0,2023-07-01,4.92772667542707,23.0,4.0,0.8518518518518519,68,0.7205882352941176
vLLM,2023-08,41,1.0055439814814815,19.67505787037037,28,1.6829268292682926,0.0,6.0,3.0,1.0,71.26829268292683,13.658536585365853,2.292682926829268,0,2023-08-01,5.946123521681997,20.0,8.0,0.7142857142857143,71,0.5774647887323944
vLLM,2023-09,82,0.7502662037037037,5.93348263888889,25,1.9024390243902438,0.5,10.0,3.0,2.0,69.76829268292683,24.5,2.9634146341463414,0,2023-09-01,6.964520367936925,16.0,9.0,0.64,115,0.7130434782608696
vLLM,2023-10,53,1.075208333333333,10.301101851851854,28,2.2452830188679247,1.0,4.5,2.0,1.0,60.71153846153846,46.42307692307692,3.5576923076923075,1,2023-10-01,7.9500657030223385,19.0,9.0,0.6785714285714286,94,0.5638297872340425
vLLM,2023-11,77,0.6876273148148148,14.047331018518534,35,2.1948051948051948,0.0,14.0,3.0,1.5,87.96052631578948,65.01315789473684,4.171052631578948,1,2023-11-01,8.968462549277266,25.0,10.0,0.7142857142857143,108,0.7129629629629629
vLLM,2023-12,100,0.15010995370370364,5.445628472222234,38,2.37,0.0,5.0,2.0,1.0,63.484848484848484,21.848484848484848,2.919191919191919,1,2023-12-01,9.95400788436268,27.0,11.0,0.7105263157894737,153,0.6535947712418301
vLLM,2024-01,91,0.8451736111111111,31.03950231481481,50,4.417582417582418,1.0,11.0,3.0,1.0,225.67032967032966,29.615384615384617,4.3076923076923075,1,2024-01-01,10.972404730617608,32.0,18.0,0.64,143,0.6363636363636364
vLLM,2024-02,99,1.1716898148148147,18.258615740740744,49,3.212121212121212,2.0,14.0,3.5,2.0,126.75510204081633,70.08163265306122,3.7857142857142856,1,2024-02-01,11.990801576872535,26.0,23.0,0.5306122448979592,182,0.5439560439560439
vLLM,2024-03,202,0.5945196759259259,14.427918981481483,79,3.757425742574257,1.0,13.5,3.0,2.0,161.525,40.955,5.175,1,2024-03-01,12.943495400788436,49.0,30.0,0.620253164556962,293,0.689419795221843
vLLM,2024-04,218,0.7919097222222222,11.030581018518522,79,3.096330275229358,1.0,16.0,5.5,2.0,152.75462962962962,39.666666666666664,5.166666666666667,1,2024-04-01,13.961892247043364,44.0,35.0,0.5569620253164557,335,0.6507462686567164
vLLM,2024-05,243,0.927835648148148,13.145560185185186,86,3.246913580246914,1.0,18.0,6.0,2.0,205.74380165289256,82.35537190082644,4.56198347107438,1,2024-05-01,14.947437582128778,43.0,43.0,0.5,337,0.7210682492581603
vLLM,2024-06,363,0.8527893518518519,15.361435185185185,93,3.2148760330578514,1.0,17.0,6.0,2.0,115.4376731301939,34.72853185595568,4.127423822714682,2,2024-06-01,15.965834428383705,44.0,49.0,0.4731182795698925,440,0.825
vLLM,2024-07,372,0.44103587962962965,11.381810185185186,107,4.497311827956989,2.0,18.5,5.0,2.0,130.9005376344086,41.766129032258064,4.591397849462366,2,2024-07-01,16.95137976346912,47.0,60.0,0.4392523364485981,504,0.7380952380952381
vLLM,2024-08,380,0.7623900462962963,11.208875,113,4.726315789473684,2.0,26.0,8.0,2.0,175.52380952380952,57.767195767195766,5.087301587301587,2,2024-08-01,17.969776609724047,52.0,61.0,0.46017699115044247,517,0.7350096711798839
vLLM,2024-09,323,0.9399537037037036,15.372284722222224,116,5.752321981424148,2.0,24.0,6.0,2.0,143.57632398753893,57.27725856697819,4.73208722741433,2,2024-09-01,18.988173455978973,46.0,70.0,0.39655172413793105,426,0.7582159624413145
vLLM,2024-10,354,0.8228819444444444,14.994329861111105,131,4.011299435028248,2.0,21.0,7.0,2.0,129.06798866855524,62.05665722379604,4.889518413597734,2,2024-10-01,19.97371879106439,56.0,75.0,0.42748091603053434,454,0.7797356828193832
vLLM,2024-11,425,0.4854398148148148,14.756370370370377,131,3.976470588235294,2.0,21.0,7.0,2.0,124.63182897862232,48.19002375296912,5.589073634204276,2,2024-11-01,20.992115637319316,56.0,75.0,0.42748091603053434,518,0.8204633204633205
